Index,City,State,Population Density (Persons/Square Mile),2016 Population,Area,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",OtherCity,OtherState,County,Zip,Country,Source
1,New York," New York",28211,8537673,303,40.750422,-73.996328,1,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
2,Los Angeles," California",8484,3976322,469,33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
3,Chicago," Illinois",11883,2704958,300,41.88531,-87.62213,1,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
4,Houston," Texas",3842,2303482,600,29.813142,-95.309789,1,place,,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
5,Phoenix," Arizona",3126,1615017,517,33.703967,-112.351835,1,place,,,,,Phoenix,AZ,"Maricopa County",85001,US,"TIGER/Line® dataset from the US Census Bureau"
6,Philadelphia," Pennsylvania",11692,1567872,134,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,"Philadelphia County",19101,US,"TIGER/Line® dataset from the US Census Bureau"
7,"San Antonio"," Texas",3238,1492510,461,29.468413,-98.528889,1,place,,,,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® dataset from the US Census Bureau"
8,"San Diego"," California",4326,1406630,325,32.724103,-117.170912,1,place,,,,,"San Diego",CA,"San Diego County",92101,US,"TIGER/Line® dataset from the US Census Bureau"
9,Dallas," Texas",3870,1317929,341,32.781179,-96.790329,1,place,,,,,Dallas,TX,"Dallas County",75201,US,"TIGER/Line® dataset from the US Census Bureau"
10,"San Jose"," California",5808,1025350,177,37.346608,-121.909871,1,place,,,,,"San Jose",CA,"Santa Clara County",95110,US,"TIGER/Line® dataset from the US Census Bureau"
11,Austin," Texas",3182,947890,298,30.268335,-97.741382,1,place,,,,,Austin,TX,"Travis County",78701,US,"TIGER/Line® dataset from the US Census Bureau"
12,Jacksonville," Florida",1179,880619,747,30.389438,-81.680806,1,place,,,,,Jacksonville,FL,"Duval County",32201,US,"TIGER/Line® dataset from the US Census Bureau"
13,"San Francisco"," California",18581,870887,47,37.776646,-122.417481,1,place,,,,,"San Francisco",CA,"San Francisco County",94101,US,"TIGER/Line® dataset from the US Census Bureau"
14,Columbus," Ohio",3960,860090,217,40.100924,-83.013402,1,place,,,,,Columbus,OH,"Franklin County",43085,US,"TIGER/Line® dataset from the US Census Bureau"
