id,scientificName,taxonID,genus,year,country,countryCode,stateProvince,decimalLatitude,decimalLongitude,verbatimCoordinates
1818363,Usnea amblyoclada,54631,Usnea,2009,United States,US,Arizona,34.2175,-111.332778,"34d 13' 03"" N 111d 19' 58"" W"
1818364,Usnea hirta,54670,Usnea,2009,United States,US,Arizona,34.2175,-111.332778,"34d 13' 03"" N 111d 19' 58"" W"
2688028,Usnea cavernosa,54640,Usnea,2005,United States,US,Arizona,32.625,-109.8333333,
2688032,Usnea intermedia,54720,Usnea,2005,United States,US,Arizona,32.6583333,-109.8666667,
2689957,Usnea hirta,54670,Usnea,2003,United States,US,Arizona,34.221389,-111.327778,"34d 13' 17"" N 111d 19' 40"" W"
2689959,Usnea arizonica,54634,Usnea,2003,United States,US,Arizona,32.436944,-110.757222,"32d 26' 13"" N 110d 45' 26"" W"
2697791,Usnea hirta,54670,Usnea,2010,United States,US,New Mexico,36.070833,-105.444444,"36d 04' 15"" N 105d 26' 40"" W"
2697792,Usnea lapponica,54671,Usnea,2010,United States,US,New Mexico,35.801667,-105.805,"35d 48' 06"" N 105d 48' 18"" W"
2697812,Usnea cavernosa,54640,Usnea,2010,United States,US,New Mexico,35.208056,-106.437222,"35d 12' 29"" N 106d 26' 14"" W"
2697814,Usnea substerilis,54704,Usnea,2010,United States,US,New Mexico,35.208056,-106.437222,"35d 12' 29"" N 106d 26' 14"" W"
2697816,Usnea lapponica,54671,Usnea,2010,United States,US,New Mexico,35.207778,-106.447222,"35d 12' 28"" N 106d 26' 50"" W"
2697822,Usnea arizonica,54634,Usnea,2010,United States,US,New Mexico,32.998333,-105.665833,"32d 59' 54"" N 105d 39' 57"" W"
2697829,Usnea hirta,54670,Usnea,2010,United States,US,New Mexico,35.056389,-108.080556,"35d 03' 23"" N 108d 04' 50"" W"
2697831,Usnea hirta,54670,Usnea,2010,United States,US,New Mexico,35.085278,-108.056389,"35d 05' 07"" N 108d 03' 23"" W"
2698038,Usnea scabrata,54693,Usnea,2010,United States,US,New Mexico,36.673833,-105.516056,"36d 40' 25.8"" N 105d 30' 57.8"" W"
2698039,Usnea scabrata,54693,Usnea,2010,United States,US,New Mexico,36.65,-105.377,"36d 39' 00"" N 105d 22' 37.2"" W"
2698040,Usnea cavernosa,54640,Usnea,2010,United States,US,New Mexico,36.7015,-105.345111,"36d 42' 5.4"" N 105d 20' 42.4"" W"
2698042,Usnea scabrata,54693,Usnea,2010,United States,US,New Mexico,36.576667,-105.440278,"36d 34' 36"" N 105d 26' 25"" W"
2698043,Usnea cavernosa,54640,Usnea,2010,United States,US,New Mexico,36.576667,-105.440278,"36d 34' 36"" N 105d 26' 25"" W"
2698045,Usnea lapponica,54671,Usnea,2010,United States,US,New Mexico,36.206667,-105.589722,"36d 12' 24"" N 105d 35' 23"" W"
2698048,Usnea substerilis,54704,Usnea,2010,United States,US,New Mexico,35.713611,-105.465556,"35d 42' 49"" N 105d 27' 56"" W"
2698050,Usnea scabrata,54693,Usnea,2010,United States,US,New Mexico,35.713611,-105.465556,"35d 42' 49"" N 105d 27' 56"" W"
